experiment,query,rank,score,chunk_doc,chunk_text_snippet
simple_128_ov8,What are the data subject rights about access and portability?,1,0.5664269924163818,Privacy_Policy_hdfc.pdf,"instrument details . iii. physical, physiological , and mental health condition . iv. sexual orientation . v. medical records and history . vi. Biometric information . vii. any detail relating to the above clauses as provided to body corporate for providing service; and viii. any of the information "
simple_128_ov8,What are the data subject rights about access and portability?,2,0.5298892259597778,Privacy_Policy_hdfc.pdf,"Policy must be read in conjunction with the Act and the Rules, as may be amended from time to time. 2. Applicability This Policy is applicable to the Company and the Third Party (“as defined in Section 3 of the Policy”) who may receive , collect, possess, stores, deals or handle Personal information"
simple_128_ov8,What are the data subject rights about access and portability?,3,0.5290191173553467,Privacy_Policy_hdfc.pdf,"or information for th e purposes of these rules. (d) “Third Party ” means all external parties such as contractors, outsourced workforce, interns, summer trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy "
simple_128_ov8,Under what grounds is processing of personal data lawful?,1,0.6080446243286133,Privacy_Policy_hdfc.pdf,"instrument details . iii. physical, physiological , and mental health condition . iv. sexual orientation . v. medical records and history . vi. Biometric information . vii. any detail relating to the above clauses as provided to body corporate for providing service; and viii. any of the information "
simple_128_ov8,Under what grounds is processing of personal data lawful?,2,0.606208086013794,Privacy_Policy_hdfc.pdf,"who is the subject of personal and sensitive personal data . It may include, but is not limited to, the employees, contractors, outsourced workforce, vendors, interns, associates, customers, Corporate Social Responsibility (CSR) partners and business partners of the Company. (b) ""Personal informatio"
simple_128_ov8,Under what grounds is processing of personal data lawful?,3,0.5560474395751953,Privacy_Policy_hdfc.pdf,or electronically) from the Data subjects before or at the time of collecting PI or SPDI . The Data subject shall be provided with a choice to opt out and withdraw any consent previously given by way of written communication to the Company . 4.2. Collection of Personal Information a) The Company sha
simple_128_ov8,When can personal data be shared with third parties?,1,0.5753870010375977,Indian Oil Priivacy policy.pdf,Agents and a Third Party which collects such Information and transfers it to IOCL for a business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data S
simple_128_ov8,When can personal data be shared with third parties?,2,0.5695280432701111,Privacy_Policy_hdfc.pdf,"or information for th e purposes of these rules. (d) “Third Party ” means all external parties such as contractors, outsourced workforce, interns, summer trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy "
simple_128_ov8,When can personal data be shared with third parties?,3,0.5481952428817749,Privacy_Policy_hdfc.pdf,"Policy must be read in conjunction with the Act and the Rules, as may be amended from time to time. 2. Applicability This Policy is applicable to the Company and the Third Party (“as defined in Section 3 of the Policy”) who may receive , collect, possess, stores, deals or handle Personal information"
simple_128_ov16,What are the data subject rights about access and portability?,1,0.5555239915847778,Indian Oil Priivacy policy.pdf,"its services/products to the Data Subject. By providing his or her Information , the Data Subject agrees that IOCL may collect, use and share this Information with Third Parties for the purpose s mentioned above from 7[a] to 7[h]. 8. FAILURE TO PROVIDE INFORMATION IOCL may not be able to perform the"
simple_128_ov16,What are the data subject rights about access and portability?,2,0.5374832153320312,Privacy_Policy_hdfc.pdf,"possessing, storing, dealing or handling personal information or SPDI of the provider of such information. No PI/SPDI shall be used by the Company without the consent of the provider of the information . The consent shall be obtained (in writing or electronically) from the Data subjects before or at"
simple_128_ov16,What are the data subject rights about access and portability?,3,0.5350003242492676,Privacy_Policy_hdfc.pdf,"or accessible in public domain or furnished under the Right to Information Act, 2005 or any other law for the time being in force shall not be regarded as sensitive personal data or information for th e purposes of these rules. (d) “Third Party ” means all external parties such as contractors, outso"
simple_128_ov16,Under what grounds is processing of personal data lawful?,1,0.5906286239624023,Privacy_Policy_hdfc.pdf,"possessing, storing, dealing or handling personal information or SPDI of the provider of such information. No PI/SPDI shall be used by the Company without the consent of the provider of the information . The consent shall be obtained (in writing or electronically) from the Data subjects before or at"
simple_128_ov16,Under what grounds is processing of personal data lawful?,2,0.5853177309036255,Privacy_Policy_hdfc.pdf,"or accessible in public domain or furnished under the Right to Information Act, 2005 or any other law for the time being in force shall not be regarded as sensitive personal data or information for th e purposes of these rules. (d) “Third Party ” means all external parties such as contractors, outso"
simple_128_ov16,Under what grounds is processing of personal data lawful?,3,0.5784960985183716,Privacy_Policy_hdfc.pdf,"preferably having entered into a confidentiality agreement. 3. Key Definitions (a) “Data subject ” is one who is the subject of personal and sensitive personal data . It may include, but is not limited to, the employees, contractors, outsourced workforce, vendors, interns, associates, customers, Cor"
simple_128_ov16,When can personal data be shared with third parties?,1,0.6404250264167786,Privacy_Policy_hdfc.pdf,"or accessible in public domain or furnished under the Right to Information Act, 2005 or any other law for the time being in force shall not be regarded as sensitive personal data or information for th e purposes of these rules. (d) “Third Party ” means all external parties such as contractors, outso"
simple_128_ov16,When can personal data be shared with third parties?,2,0.5424543023109436,Indian Oil Priivacy policy.pdf,"its services/products to the Data Subject. By providing his or her Information , the Data Subject agrees that IOCL may collect, use and share this Information with Third Parties for the purpose s mentioned above from 7[a] to 7[h]. 8. FAILURE TO PROVIDE INFORMATION IOCL may not be able to perform the"
simple_128_ov16,When can personal data be shared with third parties?,3,0.5313668251037598,Privacy_Policy_hdfc.pdf,"or information) Rules, 2011 (“ Rules ”). This Policy must be read in conjunction with the Act and the Rules, as may be amended from time to time. 2. Applicability This Policy is applicable to the Company and the Third Party (“as defined in Section 3 of the Policy”) who may receive , collect, possess"
simple_256_ov8,What are the data subject rights about access and portability?,1,0.5347517728805542,Privacy_Policy_hdfc.pdf,"parties such as contractors, outsourced workforce, interns, summer trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy describes generally acceptable privacy principles for the protection and appropriate us"
simple_256_ov8,What are the data subject rights about access and portability?,2,0.5194864273071289,Indian Oil Priivacy policy.pdf,"business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data Subject, which also includes employees of IOCL, directly elects to share their Informatio"
simple_256_ov8,What are the data subject rights about access and portability?,3,0.5117513537406921,Indian Oil Priivacy policy.pdf,"India 16. REVIEW OF INFORMATION Data Subject can contact IOCL, through the Grievance Officer whose details are provided at the end of the Policy, requesting access to Data Subject ’s Information for reviewing or requesting amendment to certain information that Data Subject considers to be incorrect "
simple_256_ov8,Under what grounds is processing of personal data lawful?,1,0.6094139814376831,Privacy_Policy_hdfc.pdf,"personal data . It may include, but is not limited to, the employees, contractors, outsourced workforce, vendors, interns, associates, customers, Corporate Social Responsibility (CSR) partners and business partners of the Company. (b) ""Personal information (PI) "" means any information that relates t"
simple_256_ov8,Under what grounds is processing of personal data lawful?,2,0.5686781406402588,Privacy_Policy_hdfc.pdf,"parties such as contractors, outsourced workforce, interns, summer trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy describes generally acceptable privacy principles for the protection and appropriate us"
simple_256_ov8,Under what grounds is processing of personal data lawful?,3,0.5305013060569763,Privacy_Policy_hdfc.pdf,"contract between the Company and the provider of information, or where the disclosure is necessary for compliance of a legal /regulatory obligation ; Provided that the information shall be shared by the Company , without obtaining prior consent from the provider of information, with Government agenc"
simple_256_ov8,When can personal data be shared with third parties?,1,0.5305006504058838,Indian Oil Priivacy policy.pdf,"business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data Subject, which also includes employees of IOCL, directly elects to share their Informatio"
simple_256_ov8,When can personal data be shared with third parties?,2,0.506156325340271,Privacy_Policy_hdfc.pdf,"parties such as contractors, outsourced workforce, interns, summer trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy describes generally acceptable privacy principles for the protection and appropriate us"
simple_256_ov8,When can personal data be shared with third parties?,3,0.49900397658348083,Indian Oil Priivacy policy.pdf,"liable in any manner whatsoever if IOCL is unable to perform its services or if there is a deficiency in IOCL’s services to the Data Subject due to Data Subject’s failure to provide such Information. IOCL and/or its Agents, employees, directors, associates, etc. shall be indemnified by the Data Subj"
simple_256_ov16,What are the data subject rights about access and portability?,1,0.5346255302429199,Privacy_Policy_hdfc.pdf,"or information for th e purposes of these rules. (d) “Third Party ” means all external parties such as contractors, outsourced workforce, interns, summer trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy "
simple_256_ov16,What are the data subject rights about access and portability?,2,0.49660614132881165,Indian Oil Priivacy policy.pdf,Agents and a Third Party which collects such Information and transfers it to IOCL for a business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data S
simple_256_ov16,What are the data subject rights about access and portability?,3,0.49607694149017334,Indian Oil Priivacy policy.pdf,"prevented from complying with its legal , accounting, business or reporting obligation s if the Data Subject fails to provide certain Information when requested by IOCL . IOCL shall not be held liable in any manner whatsoever if IOCL is unable to perform its services or if there is a deficiency in I"
simple_256_ov16,Under what grounds is processing of personal data lawful?,1,0.6094787120819092,Privacy_Policy_hdfc.pdf,"who is the subject of personal and sensitive personal data . It may include, but is not limited to, the employees, contractors, outsourced workforce, vendors, interns, associates, customers, Corporate Social Responsibility (CSR) partners and business partners of the Company. (b) ""Personal informatio"
simple_256_ov16,Under what grounds is processing of personal data lawful?,2,0.5591257810592651,Privacy_Policy_hdfc.pdf,"or information for th e purposes of these rules. (d) “Third Party ” means all external parties such as contractors, outsourced workforce, interns, summer trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy "
simple_256_ov16,Under what grounds is processing of personal data lawful?,3,0.5127358436584473,Privacy_Policy_hdfc.pdf,"provided such information under lawful HDFC Capital Privacy Policy Version: 2.0 January 2024 Security Classification: INTERNAL Page 4 of 4 contract or otherwise, unless such disclosure has been agreed to in the contract between the Company and the provider of information, or where the disclosure is "
simple_256_ov16,When can personal data be shared with third parties?,1,0.5549328327178955,Indian Oil Priivacy policy.pdf,Agents and a Third Party which collects such Information and transfers it to IOCL for a business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data S
simple_256_ov16,When can personal data be shared with third parties?,2,0.5390070676803589,Privacy_Policy_hdfc.pdf,"or information for th e purposes of these rules. (d) “Third Party ” means all external parties such as contractors, outsourced workforce, interns, summer trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy "
simple_256_ov16,When can personal data be shared with third parties?,3,0.513037383556366,Indian Oil Priivacy policy.pdf,". Third -Party: Any individual or entity over which IOCL does not have any control or ownership, and which operates independently on its own is hereinafter referred to as a ""Third Party"". 3. GOVERNING LAW IOCL is an organisation based and existing in India and is thus bound by the laws of the Republ"
simple_512_ov8,What are the data subject rights about access and portability?,1,0.5492175817489624,Indian Oil Priivacy policy.pdf,requesting access to Data Subject ’s Information for reviewing or requesting amendment to certain information that Data Subject considers to be incorrect or wrong. IOCL shall process such requests from Data Subject in accordance with applicable law. IOCL shall not be responsible for the authenticity
simple_512_ov8,What are the data subject rights about access and portability?,2,0.5273179411888123,Indian Oil Priivacy policy.pdf,"is a deficiency in IOCL’s services to the Data Subject due to Data Subject’s failure to provide such Information. IOCL and/or its Agents, employees, directors, associates, etc. shall be indemnified by the Data Subject and held harmless from any complaints, legal proceedings or claims filed or initia"
simple_512_ov8,What are the data subject rights about access and portability?,3,0.5114119648933411,Privacy_Policy_hdfc.pdf,"trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy describes generally acceptable privacy principles for the protection and appropriate use of personal information and SPDI at the Company . 4.1. Consent Th"
simple_512_ov8,Under what grounds is processing of personal data lawful?,1,0.5612918734550476,Privacy_Policy_hdfc.pdf,"trainees, vendors , CSR Partners and business partners who have access to Company’s information assets. 4. Elements of Privacy Policy This Policy describes generally acceptable privacy principles for the protection and appropriate use of personal information and SPDI at the Company . 4.1. Consent Th"
simple_512_ov8,Under what grounds is processing of personal data lawful?,2,0.5433870553970337,Indian Oil Priivacy policy.pdf,requesting access to Data Subject ’s Information for reviewing or requesting amendment to certain information that Data Subject considers to be incorrect or wrong. IOCL shall process such requests from Data Subject in accordance with applicable law. IOCL shall not be responsible for the authenticity
simple_512_ov8,Under what grounds is processing of personal data lawful?,3,0.5227590799331665,Privacy_Policy_hdfc.pdf,"compliance of a legal /regulatory obligation ; Provided that the information shall be shared by the Company , without obtaining prior consent from the provider of information, with Government agencies mandated under the law to obtain information including sensitive personal data or information for t"
simple_512_ov8,When can personal data be shared with third parties?,1,0.5113964080810547,Indian Oil Priivacy policy.pdf,"IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data Subject, which also includes employees of IOCL, directly elects to share their Information with IOCL. 7. WHY IOCL COLLECT S DATA SUBJECT ’S INFO"
